tree_id	rho	n_full	n_sampled	tree_full	tree_sampled
s5_c1	0.9	10	9	(((191_1:31,(216_1:16,216_2:16):39):55,((216_3:23,216_4:23):39,(216_5:18,216_6:18):44):48):53,(((216_7:15,216_8:15):40,(216_9:9,216_10:9):46):60,158_5:59):48);	((1_0111111111:110,((3_1110111101:23,4_1111211101:23):39,(5_1111111101:18,6_1111111101:18):44):48):53,((7_2112211201:15,8_2112111121:15):40,(9_2110011000:9,10_2110011000:9):46):108);
s5_c10	0.81	32	26	(((((216_1:10,216_2:10):42,(216_3:10,216_4:10):42):47,((216_5:7,216_6:7):37,(216_7:3,216_8:3):41):55):56,(((216_9:37,216_10:37):36,(216_11:29,216_12:29):44):42,((216_13:24,216_14:24):46,(216_15:15,216_16:15):55):45):40):50,((((216_17:31,216_18:31):45,(216_19:30,216_20:30):46):44,((216_21:32,216_22:32):44,(216_23:32,216_24:32):44):44):38,(((216_25:21,216_26:21):44,(216_27:20,216_28:20):45):50,((216_29:22,216_30:22):44,(216_31:21,216_32:21):45):49):43):47);	(((((1_0000000221:10,2_0000000221:10):42,(3_0000000221:10,4_0000000221:10):42):47,(5_0000010021:7,6_0000010021:7):92):56,((13_0112211221:24,14_0112211221:24):46,(15_0112212221:15,16_0112212221:15):55):85):50,((((17_2112011221:31,18_2112011221:31):45,(19_2112011221:30,20_2112011221:30):46):44,((21_2112011221:32,22_2112011221:32):44,(23_2112011221:32,24_2112011221:32):44):44):38,(((25_2112210000:21,26_2112000201:21):44,(27_2112211201:20,28_2112211201:20):45):50,((29_2000212000:22,30_2000212000:22):44,(31_2000212021:21,32_2000212021:21):45):49):43):47);
s5_c11	1	8	8	((151_1:20,151_2:20):64,(((216_1:20,216_2:20):41,(216_3:19,216_4:19):42):39,((216_5:13,216_6:13):40,(216_7:10,216_8:10):43):47):47);	(((1_0222000000:20,2_0222000000:20):41,(3_0222000000:19,4_0222000000:19):42):39,((5_0112000000:13,6_0112000000:13):40,(7_0122000000:10,8_0122000000:10):43):47);
s5_c12	0.9	30	27	(((132_1:33,132_2:33):53,((200_1:56,198_2:54):44,((216_1:8,216_2:8):43,(216_3:2,216_4:2):49):64):53):43,(((((216_5:11,216_6:11):38,(216_7:10,216_8:10):39):40,((216_9:12,216_10:12):40,(216_11:16,216_12:16):36):37):38,(((216_13:10,216_14:10):34,(216_15:2,216_16:2):42):40,((216_17:0,216_18:0):45,(216_19:6,216_20:6):39):39):43):42,(((216_21:39,216_22:39):45,(216_23:35,216_24:35):49):43,(((216_25:6,216_26:6):36,(216_27:2,216_28:2):40):39,(216_29:37,216_30:37):45):45):43):41);	(((1_0122210221:8,2_0122210221:8):43,(3_0212210221:2,4_0212210221:2):49):160,(((((5_2102120202:11,6_2102120202:11):38,(7_2102120202:10,8_2102120202:10):39):40,(9_2102000000:52,12_2202000000:52):37):38,(((13_2102212202:10,14_2102212202:10):34,(15_2102212101:2,16_2102212101:2):42):40,(17_2102210101:45,(19_2102210101:6,20_2102210101:6):39):39):43):42,(((21_2100001201:39,22_2100001201:39):45,(23_0100001201:35,24_1100001201:35):49):43,(((25_2100002001:6,26_2100002001:6):36,(27_2100002001:2,28_2100002001:2):40):39,(29_2100002001:37,30_2100002001:37):45):45):43):41);
s5_c13	0.42	19	8	((((216_16:33,216_17:33):59,(216_18:26,216_19:26):66):59,104_4:41):61,((((216_1:6,216_2:6):44,(216_3:1,216_4:1):49):45,((216_5:0,216_6:0):48,(216_7:6,216_8:6):42):47):54,((216_9:47,(216_10:0,216_11:0):46):48,((216_12:4,216_13:4):46,(216_14:7,216_15:7):43):44):55):62);	(1_2112211101:212,(((2_2112001211:6,7_2112001211:6):89,(8_1111111101:6,13_1111111111:6):89):54,(14_1112111111:50,(15_1111111111:7,16_1111111111:7):43):99):62);
s5_c2	0.75	16	12	((((216_1:21,216_2:21):43,(216_3:22,216_4:22):42):56,((216_5:26,216_6:26):42,(216_7:27,216_8:27):41):52):47,(((216_9:22,216_10:22):38,(216_11:20,216_12:20):40):60,((216_13:28,216_14:28):36,(216_15:27,216_16:27):37):56):47);	((((1_1111111111:21,2_1111111111:21):43,(3_1111111211:22,4_1111111211:22):42):56,((5_1111111211:26,6_1111111211:26):42,7_1111111211:68):52):47,((9_1011111011:22,10_1111111011:22):98,((13_1111111111:28,14_1111111111:28):36,15_1111111111:64):56):47);
s5_c3	0.74	35	26	((((((216_1:5,216_2:5):37,(216_3:4,216_4:4):38):38,((216_5:3,216_6:3):34,(216_7:2,216_8:2):35):43):37,(166_3:28,166_4:28):41):46,(((216_9:25,216_10:25):44,(216_11:29,216_12:29):40):53,((216_13:26,216_14:26):41,(216_15:26,216_16:26):41):55):42):47,(((((216_17:5,216_18:5):36,(216_19:5,216_20:5):36):40,((216_21:5,216_22:5):36,216_23:42):40):48,(185_13:58,((216_24:4,216_25:4):38,(216_26:9,216_27:9):33):45):42):40,(((216_28:25,216_29:25):40,(216_30:16,216_31:16):49):58,((216_32:22,216_33:22):40,(216_34:23,216_35:23):39):61):47):41);	(((((1_0122212021:5,2_0122212021:5):37,(3_0122212021:4,4_0022212021:4):38):38,((5_0122211021:3,6_0122211021:3):34,(7_0122211011:2,8_0122211011:2):35):43):83,(((9_0111211021:25,10_0111001001:25):44,12_2110111001:69):53,((13_2111211221:26,14_2111111221:26):41,(15_2111111221:26,16_2111111221:26):41):55):42):47,((((17_2112111111:5,18_0012111111:5):76,23_2110000000:82):48,((24_1011211101:4,25_1112211101:4):38,(26_1111211221:9,27_1111011221:9):33):87):40,(((28_0111111221:25,29_1111111221:25):40,31_0101111121:65):58,33_1112212121:123):47):41);
s5_c4	0.56	16	9	((((216_1:40,(216_2:2,216_3:2):37):45,(216_4:32,(216_5:0,216_6:0):31):53):52,((215_6:31,215_7:31):48,(216_7:26,216_8:26):54):57):61,(((216_9:1,216_10:1):83,(216_11:17,216_12:17):67):59,((216_13:23,216_14:23):52,(216_15:21,216_16:21):54):68):55);	(((1_0102010021:40,(2_0102010021:2,3_0102010021:2):37):45,(4_0202010021:32,(5_0202010021:0,6_0202010021:0):31):53):113,((13_2102011001:23,14_2102011001:23):52,16_2112012001:75):123);
s5_c5	0.78	18	14	((((216_1:37,216_2:37):43,(212_3:35,211_4:34):41):45,((216_3:30,216_4:30):43,(216_5:32,216_6:32):41):52):52,((((216_7:1,216_8:1):37,216_9:39):48,(216_10:34,216_11:34):53):46,((216_12:38,(216_13:2,216_14:2):35):46,((216_15:3,216_16:3):35,(216_17:4,216_18:4):34):45):49):44);	(((1_2112212011:37,2_2112212011:37):88,((3_0112111201:30,4_2112111221:30):43,(5_1111111201:32,6_1111111221:32):41):52):52,(((7_0112211221:1,8_0112211221:1):85,(10_2112211221:34,11_2112211221:34):53):46,((12_1211212000:38,(13_1211212000:2,14_1211212201:2):35):46,15_2112212221:83):49):44);
s5_c6	0.75	4	3	(((216_1:14,216_2:14):96,(216_3:18,216_4:18):92):84,104_2:84);	(1_1211212201:110,(3_2112010221:18,4_2112010221:18):92);
s5_c7	0.66	47	31	(((((216_1:40,216_2:40):48,(216_3:21,216_4:21):67):62,((216_5:42,216_6:42):49,((216_7:1,216_8:1):42,216_9:44):47):59):42,((((216_10:8,216_11:8):39,(216_12:14,216_13:14):33):46,((216_14:10,216_15:10):37,(216_16:11,216_17:11):36):46):58,((216_18:40,216_19:40):63,(209_19:29,215_20:35):67):49):40):19,(((((216_20:21,216_21:21):39,(216_22:17,216_23:17):43):46,((216_24:18,216_25:18):45,(216_26:19,216_27:19):44):43):44,((216_28:32,216_29:32):63,(216_30:47,216_31:47):48):56):43,((((216_32:13,216_33:13):39,(216_34:12,216_35:12):40):49,((216_36:11,216_37:11):41,(216_38:11,216_39:11):41):49):47,(((216_40:15,216_41:15):44,(216_42:21,216_43:21):38):45,((216_44:19,216_45:19):40,(216_46:19,216_47:19):40):45):44):45):17);	(((3_0112211221:21,4_2222212000:21):171,(((10_2111212121:8,11_2111212121:8):39,(12_2111212121:14,13_2111212121:14):33):46,17_2121212221:93):98):19,((((20_2110211201:21,21_2110211201:21):39,(22_2110211201:17,23_2110211201:17):43):46,((24_2212212221:18,25_2212212221:18):45,(26_2112212221:19,27_2112212221:19):44):43):87,((((32_0012211000:13,33_0012211000:13):39,(34_0012211000:12,35_0012211000:12):40):49,((36_0012211000:11,37_0012211000:11):41,(38_0012211000:11,39_0012211000:11):41):49):47,(((40_0112210000:15,41_0112210000:15):44,(42_0112211221:21,43_0112211221:21):38):45,((44_0112211221:19,45_0112211221:19):40,(46_0112212221:19,47_0112212221:19):40):45):44):45):17);
s5_c9	0.86	7	6	(((216_1:30,216_2:30):48,(216_3:26,216_4:26):52):53,((216_5:28,216_6:28):55,216_7:84):48);	(((1_2021020221:30,2_2021020221:30):48,3_2011020221:78):53,((5_1222212201:28,6_1222212201:28):55,7_1222012201:84):48);
s6_c1	1	8	8	((((216_1:30,216_2:30):48,(216_3:18,216_4:18):60):42,((216_5:24,216_6:24):50,(216_7:19,216_8:19):55):46):53,((144_5:1,144_6:1):50,145_5:53):51);	(((1_2122212001:30,2_2102212001:30):48,(3_2022212001:18,4_2012212001:18):60):42,((5_2112212001:24,6_2102212001:24):50,(7_2122212001:19,8_2122212001:19):55):46);
s6_c2	0.27	11	3	(((144_1:27,144_2:27):40,(144_3:21,((216_1:0,216_2:0):41,(216_3:0,216_4:0):41):50):46):42,((144_5:11,(216_5:36,216_6:36):46):50,((216_7:34,216_8:34):48,(216_9:41,(216_10:6,216_11:6):34):41):50):48);	(6_2102001201:132,(7_0111211211:82,10_0111111001:81):50);
s6_c3	0.79	28	22	(((((216_1:7,216_2:7):42,(216_3:13,216_4:13):36):45,((216_5:3,216_6:3):40,216_7:44):51):48,((216_8:53,(216_9:8,216_10:8):44):47,((216_11:0,216_12:0):54,(216_13:11,216_14:11):43):45):43):50,((((216_15:5,216_16:5):41,216_17:47):50,(216_18:54,(216_19:3,216_20:3):50):43):44,(((216_21:6,216_22:6):42,(216_23:1,216_24:1):47):47,((216_25:5,216_26:5):39,(216_27:6,216_28:6):38):51):45):52);	(((((1_1111101011:7,2_1111111111:7):42,(3_1111111211:13,4_1111111211:13):36):45,(6_1111111121:43,7_2111111111:44):51):48,((8_1111111111:53,(9_1111111111:8,10_1111111111:8):44):47,(12_1111111101:54,14_1111111111:54):45):43):50,(((16_1111111111:46,17_1111110111:47):50,(18_1111111111:54,(19_1111111111:3,20_1111111111:3):50):43):44,(((21_1111111111:6,22_1111111111:6):42,(23_1111111111:1,24_1111111111:1):47):47,(25_1111111111:44,28_1111111111:44):51):45):52);
s7_c1	0.72	25	18	(((((216_1:18,216_2:18):38,(216_3:19,216_4:19):37):51,((216_5:29,216_6:29):35,(216_7:26,216_8:26):38):43):45,(((216_9:16,216_10:16):42,(216_11:22,216_12:22):36):50,((216_13:31,216_14:31):39,(216_15:28,216_16:28):42):38):44):55,(((216_17:41,216_18:41):52,(216_19:39,216_20:39):54):53,((216_21:33,216_22:33):58,((216_23:3,216_24:3):38,216_25:42):49):55):62);	(((((1_2120000221:18,2_2120000221:18):38,(3_2102002221:19,4_2102002221:19):37):51,((5_2112210221:29,6_2110001221:29):35,(7_2112211221:26,8_2112211221:26):38):43):45,(((9_0122210201:16,10_0122211201:16):42,(11_0122211000:22,12_0122212000:22):36):50,((13_0122212221:31,14_0122210221:31):39,(15_0122211200:28,16_0122211200:28):42):38):44):55,(17_2111111011:93,20_1111111111:93):115);
s7_c2	0.5	18	9	(((((216_1:2,216_2:2):44,(216_3:2,216_4:2):44):43,((216_5:4,216_6:4):46,(216_7:12,216_8:12):38):39):48,((216_9:40,216_10:40):49,(216_11:36,216_12:36):53):49):39,((216_13:65,216_14:65):69,((216_15:22,216_16:22):55,(216_17:30,216_18:30):47):56):44);	((((1_0112212221:2,2_0112212221:2):44,4_0112212221:46):43,(5_0112212221:50,(7_0112212221:12,8_0112212221:12):38):39):48,(9_2122212221:89,(11_2112212021:36,12_2112212221:36):53):49);
s7_c3	0.79	34	27	(((109_5:32,109_6:32):40,(((216_33:40,216_34:40):54,(193_21:18,194_21:19):53):45,(127_10:3,127_11:3):48):38):34,(((((216_1:20,216_2:20):31,(216_3:18,216_4:18):33):40,((216_5:8,216_6:8):40,(216_7:4,216_8:4):44):43):44,(((216_9:13,216_10:13):35,(216_11:15,216_12:15):33):45,((216_13:15,216_14:15):36,(216_15:12,216_16:12):39):42):42):38,((((216_17:24,216_18:24):29,(216_19:24,216_20:24):29):35,((216_21:14,216_22:14):36,(216_23:18,216_24:18):32):38):44,(((216_25:9,216_26:9):31,(216_27:5,216_28:5):35):41,((216_29:9,216_30:9):38,(216_31:15,216_32:15):32):34):51):41):37);	((1_2111111121:40,2_2111111121:40):171,(((((3_0112112221:20,4_0112111221:20):31,(5_0110112221:18,6_0110112221:18):33):40,((7_0112111221:8,8_0112111221:8):40,(9_2112111121:4,10_0112111121:4):44):43):44,(((11_0111111121:13,12_0111111121:13):35,(13_0111111101:15,14_0111111121:15):33):45,((15_0111111121:15,16_0111111121:15):36,(17_0111111121:12,19_0111111121:12):39):42):42):38,(((21_1111111111:53,22_1111111111:53):35,((23_1111111111:14,26_1111111111:14):36,28_1111111111:50):38):44,((31_2111111111:40,32_2111111111:40):41,(33_1111111111:15,34_1111111111:15):66):51):41):37);
s7_c5	0.87	15	13	((((216_5:42,(216_6:0,216_7:0):41):57,((216_8:5,216_9:5):43,(216_10:8,216_11:8):40):50):69,(190_10:80,((216_12:7,216_13:7):48,(216_14:10,216_15:10):45):49):63):44,(((216_1:28,216_2:28):43,(216_3:29,216_4:29):42):94,(186_3:63,193_5:70):73):47);	((((3_0100210021:42,(4_2110210001:0,5_0110210001:0):41):57,((6_2212211221:5,7_2220211021:5):43,(8_0212211021:8,9_2220211021:8):40):50):69,((10_0111211221:7,11_0111211221:7):48,(12_0111211221:10,13_0110211221:10):45):112):44,(14_0100000101:29,15_0000000101:29):183);
s7_c6	0.67	6	4	(((216_1:62,216_2:62):91,(216_3:67,216_4:67):86):60,((216_5:56,216_6:56):104,104_4:49):53);	(((1_0000002201:62,2_0000001221:62):91,4_1112110011:153):60,5_1111110101:213);
s8_c1	1	12	12	(((216_1:47,216_2:47):94,((216_3:12,216_4:12):45,(216_5:7,216_6:7):50):83):46,(((216_7:17,216_8:17):57,(216_9:21,216_10:21):53):63,(216_11:18,216_12:18):120):49);	(((1_2000000021:47,2_2000000021:47):94,((3_2100000221:12,4_2100000221:12):45,(5_2100000221:7,6_2100000221:7):50):83):46,(((7_0010012200:17,8_0010012200:17):57,(9_0000212200:21,10_0000212200:21):53):63,(11_0000212201:18,12_0000212201:18):120):49);
s8_c2	0.6	10	6	(((130_1:21,131_1:22):53,((216_1:38,216_2:38):56,(216_3:33,216_4:33):61):65):46,(((216_5:14,216_6:14):58,(216_7:17,216_8:17):55):81,((205_9:15,205_10:15):55,(216_9:24,216_10:24):57):72):52);	(((1_0122011200:38,2_0122011200:38):56,(3_2122012200:33,4_2122012200:33):61):111,(9_0100111201:24,10_0100111201:24):181);
s8_c3	0.88	17	15	(((((216_1:12,216_2:12):41,(216_3:13,216_4:13):40):46,((216_5:7,216_6:7):46,(216_7:8,216_8:8):45):46):52,(((216_9:2,216_10:2):43,216_11:46):45,((216_12:1,216_13:1):41,(216_14:0,216_15:0):42):48):61):53,(((206_11:35,216_16:45):52,(215_16:45,216_17:46):51):61,(149_7:31,151_7:33):61):47);	((((1_0111112221:12,2_0111112221:12):41,(3_0111112221:13,4_0111112221:13):40):46,((5_1110012221:7,6_1110012021:7):46,(7_0110112221:8,8_0110112221:8):45):46):52,(((9_2211012221:2,10_2211012221:2):43,11_2211012221:46):45,((12_2111010121:1,13_2111010121:1):41,(14_2111010121:0,15_2111010121:0):42):48):61);
s8_c4	0.8	20	16	((((216_1:30,216_2:30):56,(216_3:32,216_4:32):54):52,((216_5:25,216_6:25):49,(216_7:26,216_8:26):48):64):42,(((216_9:38,(216_10:1,216_11:1):36):45,((216_12:1,216_13:1):40,(216_14:5,216_15:5):36):41):57,(((216_16:0,216_17:0):38,216_18:39):46,(216_19:15,216_20:15):70):55):40);	((((1_0122212201:30,2_0122212201:30):56,(3_0022212201:32,4_0022212201:32):54):52,((5_0122210201:25,6_0122210201:25):49,8_0122212200:74):64):42,(((9_2112011221:38,11_2112111221:37):45,(14_2112011221:5,15_2112011221:5):77):57,(((16_2112010201:0,17_2112010201:0):38,18_2112010201:39):46,(19_2112010201:15,20_2112010201:15):70):55):40);
s8_c5	0.66	35	23	(((((216_1:20,216_2:20):51,(216_3:28,216_4:28):43):52,((216_5:41,(216_6:4,216_7:4):36):38,(216_8:37,(216_9:1,216_10:1):35):42):44):43,(((216_11:5,216_12:5):50,(216_13:10,216_14:10):45):52,((216_15:3,216_16:3):50,216_17:54):54):59):45,((((216_18:30,216_19:30):43,(216_20:33,216_21:33):40):50,((216_22:19,216_23:19):49,(216_24:21,216_25:21):47):55):50,(((216_26:36,216_27:36):38,(216_28:23,216_29:23):51):52,(((216_30:0,216_31:0):37,(216_32:4,216_33:4):33):37,(216_34:32,216_35:32):43):51):47):38);	((3_0110211021:123,((5_2110111101:41,(6_2110111101:4,7_2110111101:4):36):38,(8_2111111111:37,(9_2111011121:1,10_2111011121:1):35):42):44):88,((((18_1110111211:30,19_1110111211:30):43,(20_2110111121:33,21_1110112121:33):40):50,((22_2112111111:19,23_1112011211:19):49,(24_2112011201:21,25_2112011201:21):47):55):50,((26_2110111121:36,27_2110111121:36):90,(((30_0110011221:0,31_0110011221:0):37,(32_0110111221:4,33_0110111221:4):33):37,(34_2112011101:32,35_2112012101:32):43):51):47):38);
s8_c6	0.91	32	29	(((((216_1:11,216_2:11):33,(216_3:10,216_4:10):34):45,((216_5:3,216_6:3):40,(216_7:4,216_8:4):39):46):46,(((216_9:7,216_10:7):37,(216_11:9,216_12:9):35):42,((216_13:5,216_14:5):36,(216_15:2,216_16:2):39):45):49):44,((((216_17:12,216_18:12):36,(216_19:12,216_20:12):36):42,((216_21:7,216_22:7):40,(216_23:15,216_24:15):32):43):47,(((216_25:18,216_26:18):33,(216_27:11,216_28:11):40):40,((216_29:13,216_30:13):39,(216_31:14,216_32:14):38):39):46):42);	(((((1_2100101000:11,2_2112111111:11):33,(3_2111111011:10,4_2111111111:10):34):45,((5_1110011201:3,6_1110011201:3):40,(7_1100111211:4,8_1100111211:4):39):46):46,(((9_1111110121:7,10_1111110121:7):37,(11_1111110121:9,12_1111110121:9):35):42,((13_1111110221:5,14_1111110221:5):36,16_1111111211:41):45):49):44,((((17_2101221221:12,18_2121221221:12):36,20_2121221011:48):42,(21_1100011201:47,(23_1102012221:15,24_1102012221:15):32):43):47,(((25_2120011021:18,26_2120011021:18):33,(27_2120011021:11,28_2120011021:11):40):40,((29_0110211021:13,30_0110211021:13):39,(31_0110211021:14,32_0110211021:14):38):39):46):42);
s9_c1	0.77	22	17	(((((216_1:9,216_2:9):63,(216_3:22,216_4:22):50):35,((211_5:16,209_6:14):42,(216_5:24,216_6:24):39):44):45,(((216_7:19,216_8:19):43,(216_9:25,216_10:25):37):43,((216_11:21,216_12:21):38,(216_13:21,216_14:21):38):46):47):54,(116_5:52,(((216_15:25,216_16:25):39,(216_17:21,216_18:21):43):40,((216_19:29,216_20:29):36,(216_21:30,216_22:30):35):39):45):57);	(((((1_2110111221:9,2_2110111221:9):63,(3_2110111221:22,4_2110111221:22):50):35,(5_2110111121:24,6_2110111121:24):83):45,(((7_1111111101:19,8_1110111111:19):43,(9_1111111111:25,10_1111111111:25):37):43,((11_1111110101:21,12_1111110101:21):38,13_1112111101:59):46):47):54,((15_0120212201:25,16_0120212201:25):79,(19_0100212201:29,20_0120212201:29):75):102);
s9_c2	0.75	20	15	((((216_1:37,216_2:37):53,(216_3:38,216_4:38):52):57,(((216_5:11,216_6:11):35,(216_7:2,216_8:2):44):49,((216_9:6,216_10:6):42,(216_11:6,216_12:6):42):47):51):57,(((216_13:16,216_14:16):64,(216_15:0,216_16:0):80):61,((216_17:22,216_18:22):61,(216_19:31,216_20:31):52):58):63);	((((1_2111112001:37,2_1111011101:37):53,3_0101210021:90):57,(((5_1111102001:11,6_1111110121:11):35,(7_1111111111:2,8_1111111111:2):44):49,(9_1101000011:48,11_1111111111:48):47):51):57,((13_1110111221:80,(15_1111111211:0,16_1111111211:0):80):61,((17_0100212221:22,18_0100212000:22):61,19_0110211221:83):58):63);
s9_c3	0.76	34	26	(((((216_1:30,216_2:30):44,(216_3:29,216_4:29):45):42,((216_5:28,216_6:28):40,(216_7:20,216_8:20):48):48):56,(((216_9:30,216_10:30):49,((216_11:6,216_12:6):35,(216_13:7,216_14:7):34):37):45,((216_15:30,216_16:30):49,(216_17:28,216_18:28):51):45):48):39,((((216_19:37,216_20:37):45,(216_21:34,216_22:34):48):48,((216_23:36,216_24:36):42,(216_25:26,216_26:26):52):52):44,(((216_27:40,216_28:40):44,(216_29:42,216_30:42):42):48,((216_31:30,216_32:30):50,(216_33:27,216_34:27):53):52):42):37);	(((((1_2112011221:30,2_2112211200:30):44,(3_2112211200:29,4_2112211200:29):45):42,((5_2122012221:28,6_2102012221:28):40,8_2122012221:68):48):56,(((11_2110211221:6,12_2110211221:6):35,(13_2110011221:7,14_2110011221:7):34):82,(15_2110111001:79,(17_2110111001:28,18_2110111001:28):51):45):48):39,((((19_2110211021:37,20_2122211021:37):45,(21_2112211021:34,22_2102011021:34):48):48,((23_2112212221:36,24_2112212221:36):42,(25_0122212221:26,26_0122211221:26):52):52):44,((27_0102111001:40,28_0102212001:40):44,(29_1100212001:42,30_1100211001:42):42):90):37);
s9_c4	0.71	31	22	(((((216_1:38,216_2:38):46,(216_3:45,(216_5:3,216_4:3):41):39):49,(((216_6:4,216_7:4):42,(216_8:3,216_9:3):43):39,((216_10:1,216_11:1):42,(216_12:4,216_13:4):39):42):47):47,((190_9:42,194_9:46):54,164_7:71):59):31,((((216_14:35,216_15:35):45,(216_16:37,216_17:37):43):53,((216_18:23,216_19:23):52,(216_20:36,216_21:36):39):58):45,(((216_22:32,216_23:32):52,(216_24:31,216_25:31):53):50,((216_26:36,216_27:36):51,((216_28:2,216_29:2):37,(216_30:0,216_31:0):39):47):47):44):33);	(((1_1112111111:84,(3_1112111001:45,(4_2110111211:3,5_1112111111:3):41):39):49,(((6_1111111111:4,7_1111111111:4):42,(8_2111111111:3,9_2111111111:3):43):39,(10_1111111001:43,(12_1111110111:4,13_2110111001:4):39):42):47):78,((14_1110111121:35,15_1110111121:35):143,(((22_2100002000:32,23_2100000001:32):52,25_1111102001:84):50,((26_1110111121:36,27_1112111121:36):51,((28_1111112201:2,29_1111112201:2):37,(30_1111110201:0,31_1111112201:0):39):47):47):44):33);
s9_c5	0.53	30	16	(((((216_1:7,216_2:7):46,(216_3:9,216_4:9):44):55,((216_5:23,216_6:23):39,(216_7:19,216_8:19):43):46):60,(((216_9:9,216_10:9):41,(216_11:4,216_12:4):46):54,((216_13:2,216_14:2):44,216_15:47):58):64):43,((((216_16:0,216_17:0):49,216_18:50):65,((216_19:10,216_20:10):42,(216_21:12,216_22:12):40):62):53,(((216_23:31,216_24:31):36,(216_25:24,216_26:24):43):44,((216_27:23,216_28:23):36,(216_29:23,216_30:23):36):52):56):44);	(((((1_1111000011:7,2_0111111111:7):46,(3_1111111111:9,4_1111111111:9):44):55,((5_1111111001:23,6_1102010010:23):39,7_1111111101:62):46):60,((13_2110111211:2,14_2110111211:2):44,15_2110111211:47):122):43,((23_1111111101:31,24_1111111021:31):80,((27_1111111000:23,28_0102001011:23):36,(29_1111111100:23,30_2100000000:23):36):52):100);
s9_c6	0.75	4	3	(132_1:78,((216_1:32,216_2:32):39,(216_3:30,216_4:30):41):89);	(2_2100011021:71,(3_0112211221:30,4_0112211221:30):41);
